gate_type,delay_ps,tpHL_ps,tpLH_ps,power_mW,pdp,vdd,temp,cload,deck_file,output_file,static_input,static_state,switching_input,width_inv,width_n,width_n1,width_n2,width_n3,width_n4,width_p,width_p1,width_p2,width_p3,width_p4
inverter,48.2952,24.2482,48.2952,0.002269,0.109582,1.692,-28.6,3.44,spice/generated/inverter_0027.cir,spice/outputs/inverter_0027_output.txt,,,,,1.649,,,,,1.641,,,,
inverter,92.1555,34.57,92.1555,0.003709,0.341805,1.685,50.7,9.04,spice/generated/inverter_0028.cir,spice/outputs/inverter_0028_output.txt,,,,,1.809,,,,,0.898,,,,
inverter,61.4235,54.9745,61.4235,0.002716,0.166826,1.527,49.0,6.92,spice/generated/inverter_0029.cir,spice/outputs/inverter_0029_output.txt,,,,,0.802,,,,,1.595,,,,
inverter,39.4974,20.0256,39.4974,0.002713,0.107156,1.997,67.2,3.3,spice/generated/inverter_0030.cir,spice/outputs/inverter_0030_output.txt,,,,,1.276,,,,,1.157,,,,
inverter,62.7504,47.0103,62.7504,0.002157,0.135353,1.535,15.8,5.18,spice/generated/inverter_0031.cir,spice/outputs/inverter_0031_output.txt,,,,,0.845,,,,,1.382,,,,
inverter,191.5103,55.4487,191.5103,0.004351,0.833261,1.443,64.1,17.33,spice/generated/inverter_0032.cir,spice/outputs/inverter_0032_output.txt,,,,,1.858,,,,,0.843,,,,
inverter,58.5875,45.7236,58.5875,0.001495,0.087588,1.443,-0.7,3.51,spice/generated/inverter_0033.cir,spice/outputs/inverter_0033_output.txt,,,,,0.821,,,,,1.503,,,,
inverter,90.0847,39.6423,90.0847,0.008529,0.768332,1.961,54.2,16.34,spice/generated/inverter_0034.cir,spice/outputs/inverter_0034_output.txt,,,,,1.677,,,,,1.209,,,,
inverter,110.4239,51.693,110.4239,0.003088,0.340989,1.514,-24.0,9.87,spice/generated/inverter_0035.cir,spice/outputs/inverter_0035_output.txt,,,,,1.135,,,,,1.147,,,,
inverter,54.8717,54.8717,47.9308,0.005027,0.27584,1.837,71.1,8.65,spice/generated/inverter_0036.cir,spice/outputs/inverter_0036_output.txt,,,,,0.648,,,,,1.976,,,,
inverter,91.8765,60.4658,91.8765,0.003326,0.305581,1.604,102.2,9.52,spice/generated/inverter_0037.cir,spice/outputs/inverter_0037_output.txt,,,,,0.785,,,,,0.873,,,,
inverter,105.49,35.0064,105.49,0.003605,0.380291,1.653,6.0,9.42,spice/generated/inverter_0038.cir,spice/outputs/inverter_0038_output.txt,,,,,1.885,,,,,0.875,,,,
inverter,167.7097,36.6679,167.7097,0.007508,1.259164,1.917,50.8,16.88,spice/generated/inverter_0039.cir,spice/outputs/inverter_0039_output.txt,,,,,1.999,,,,,0.576,,,,
inverter,54.2791,54.2791,49.4231,0.0066,0.358242,1.981,112.9,10.23,spice/generated/inverter_0040.cir,spice/outputs/inverter_0040_output.txt,,,,,0.749,,,,,1.773,,,,
inverter,269.8457,74.5227,269.8457,0.005146,1.388626,1.528,26.2,19.72,spice/generated/inverter_0041.cir,spice/outputs/inverter_0041_output.txt,,,,,1.068,,,,,0.588,,,,
inverter,130.9198,73.2912,130.9198,0.005752,0.753051,1.559,89.4,19.19,spice/generated/inverter_0042.cir,spice/outputs/inverter_0042_output.txt,,,,,1.135,,,,,1.183,,,,
inverter,43.2126,41.2379,43.2126,0.004663,0.2015,1.997,51.7,6.64,spice/generated/inverter_0043.cir,spice/outputs/inverter_0043_output.txt,,,,,0.732,,,,,1.578,,,,
inverter,33.6009,13.0841,33.6009,0.001955,0.06569,1.981,55.6,2.09,spice/generated/inverter_0044.cir,spice/outputs/inverter_0044_output.txt,,,,,1.622,,,,,1.313,,,,
inverter,86.7847,84.1287,86.7847,0.007861,0.682215,1.751,43.0,19.25,spice/generated/inverter_0045.cir,spice/outputs/inverter_0045_output.txt,,,,,0.736,,,,,1.779,,,,
inverter,77.465,39.6275,77.465,0.001994,0.154465,1.448,-9.3,5.47,spice/generated/inverter_0046.cir,spice/outputs/inverter_0046_output.txt,,,,,1.513,,,,,1.393,,,,
inverter,131.0207,56.4361,131.0207,0.003547,0.46473,1.472,106.9,12.77,spice/generated/inverter_0047.cir,spice/outputs/inverter_0047_output.txt,,,,,1.392,,,,,0.869,,,,
inverter,57.9306,27.1288,57.9306,0.0026,0.15062,1.652,56.3,4.88,spice/generated/inverter_0048.cir,spice/outputs/inverter_0048_output.txt,,,,,1.902,,,,,1.284,,,,
inverter,65.0198,28.5764,65.0198,0.003703,0.240768,1.83,-0.6,6.7,spice/generated/inverter_0049.cir,spice/outputs/inverter_0049_output.txt,,,,,1.508,,,,,1.094,,,,
inverter,226.1137,69.9785,226.1137,0.005746,1.299249,1.59,84.1,19.97,spice/generated/inverter_0050.cir,spice/outputs/inverter_0050_output.txt,,,,,1.187,,,,,0.609,,,,
inverter,135.2078,57.5271,135.2078,0.008944,1.209299,1.998,-27.9,18.73,spice/generated/inverter_0051.cir,spice/outputs/inverter_0051_output.txt,,,,,0.898,,,,,0.82,,,,
inverter,94.8629,72.6497,94.8629,0.008054,0.764026,1.929,105.1,16.84,spice/generated/inverter_0052.cir,spice/outputs/inverter_0052_output.txt,,,,,0.737,,,,,1.054,,,,
inverter,24.9837,15.9332,24.9837,0.001082,0.027032,1.822,60.9,1.15,spice/generated/inverter_0053.cir,spice/outputs/inverter_0053_output.txt,,,,,1.481,,,,,1.981,,,,
inverter,42.3155,17.2462,42.3155,0.002845,0.120388,1.89,9.4,3.55,spice/generated/inverter_0054.cir,spice/outputs/inverter_0054_output.txt,,,,,1.908,,,,,1.495,,,,
inverter,123.2981,67.2015,123.2981,0.003494,0.430804,1.469,-22.3,12.49,spice/generated/inverter_0055.cir,spice/outputs/inverter_0055_output.txt,,,,,0.909,,,,,1.33,,,,
inverter,66.965,48.0166,66.965,0.005243,0.351097,1.831,-6.4,10.28,spice/generated/inverter_0056.cir,spice/outputs/inverter_0056_output.txt,,,,,0.896,,,,,1.451,,,,
